s,A(s) (GHz),B(s) (GHz),c (normalized)
0.311,1.07415900,1.41086500,0.37611250
0.312,1.06626500,1.41626600,0.37652650
0.313,1.05837000,1.42167800,0.37694060
0.314,1.05047600,1.42710100,0.37735460
0.315,1.04258100,1.43253300,0.37776860
0.316,1.03468700,1.43797600,0.37818270
0.317,1.02679200,1.44342900,0.37859670
0.318,1.01889800,1.44889300,0.37901080
0.319,1.01100300,1.45436700,0.37942480
0.320,1.00310900,1.45985100,0.37983890
0.321,0.99521430,1.46534500,0.38025290
0.322,0.98731980,1.47085000,0.38066690
0.323,0.97942530,1.47636500,0.38108100
0.324,0.97153080,1.48189100,0.38149500
0.325,0.96363630,1.48742700,0.38190910
0.326,0.95593630,1.49297300,0.38232260
0.327,0.94885460,1.49852900,0.38273440
0.328,0.94177280,1.50409600,0.38314620
0.329,0.93469100,1.50967300,0.38355800
0.330,0.92760920,1.51526100,0.38396980
0.331,0.92052750,1.52085800,0.38438160
0.332,0.91344570,1.52646600,0.38479340
0.333,0.90636390,1.53208500,0.38520520
0.334,0.89928220,1.53771300,0.38561700
0.335,0.89220040,1.54335200,0.38602890
0.336,0.88511860,1.54900200,0.38644070
0.337,0.87803680,1.55466100,0.38685250
0.338,0.87095510,1.56033100,0.38726430
0.339,0.86387330,1.56601200,0.38767610
0.340,0.85679150,1.57170200,0.38808790
0.341,0.84970970,1.57740300,0.38849970
0.342,0.84262800,1.58311400,0.38891150
0.343,0.83554620,1.58883600,0.38932330
0.344,0.82846440,1.59456800,0.38973510
0.345,0.82138270,1.60031000,0.39014690
0.346,0.81430090,1.60606300,0.39055880
0.347,0.80721910,1.61182500,0.39097060
0.348,0.80022030,1.61759900,0.39138260
0.349,0.79391890,1.62338200,0.39179690
0.350,0.78761740,1.62917600,0.39221120
0.351,0.78131600,1.63498000,0.39262550
0.352,0.77501460,1.64079400,0.39303980
0.353,0.76871320,1.64661900,0.39345400
0.354,0.76241180,1.65245400,0.39386830
0.355,0.75611040,1.65830000,0.39428260
0.356,0.74980890,1.66415500,0.39469690
0.357,0.74350750,1.67002200,0.39511120
0.358,0.73720610,1.67589800,0.39552550
0.359,0.73090470,1.68178500,0.39593970
0.360,0.72460330,1.68768200,0.39635400
0.361,0.71830180,1.69358900,0.39676830
0.362,0.71200040,1.69950700,0.39718260
0.363,0.70569900,1.70543500,0.39759690
0.364,0.69939760,1.71137300,0.39801120
0.365,0.69309620,1.71732100,0.39842540
0.366,0.68679480,1.72328000,0.39883970
0.367,0.68049330,1.72925000,0.39925400
0.368,0.67419190,1.73522900,0.39966830
0.369,0.66827310,1.74121900,0.40008750
0.370,0.66265050,1.74721900,0.40051040
0.371,0.65702790,1.75323000,0.40093340
0.372,0.65140540,1.75925100,0.40135630
0.373,0.64578280,1.76528200,0.40177930
0.374,0.64016020,1.77132300,0.40220220
0.375,0.63453770,1.77737500,0.40262520
0.376,0.62891510,1.78343700,0.40304820
0.377,0.62329260,1.78951000,0.40347110
0.378,0.61767000,1.79559300,0.40389410
0.379,0.61204740,1.80168600,0.40431700
0.380,0.60642490,1.80778900,0.40474000
0.381,0.60080230,1.81390300,0.40516300
0.382,0.59517980,1.82002700,0.40558590
0.383,0.58955720,1.82616100,0.40600890
0.384,0.58393460,1.83230600,0.40643180
0.385,0.57831210,1.83846100,0.40685480
0.386,0.57268950,1.84462700,0.40727770
0.387,0.56706690,1.85080200,0.40770070
0.388,0.56144440,1.85698800,0.40812370
0.389,0.55582180,1.86318500,0.40854660
0.390,0.55055480,1.86939100,0.40897570
0.391,0.54552280,1.87560800,0.40940880
0.392,0.54049070,1.88183500,0.40984180
0.393,0.53545860,1.88807300,0.41027490
0.394,0.53042660,1.89432100,0.41070800
0.395,0.52539450,1.90057900,0.41114110
0.396,0.52036250,1.90684800,0.41157410
0.397,0.51533040,1.91312700,0.41200720
0.398,0.51029840,1.91941600,0.41244030
0.399,0.50526630,1.92571500,0.41287340
0.400,0.50023420,1.93202500,0.41330640
0.401,0.49520220,1.93834500,0.41373950
0.402,0.49017010,1.94467600,0.41417260
0.403,0.48513810,1.95101700,0.41460570
0.404,0.48010600,1.95736800,0.41503870
0.405,0.47507400,1.96372900,0.41547180
0.406,0.47004190,1.97010100,0.41590490
0.407,0.46500980,1.97648300,0.41633800
0.408,0.45997780,1.98287500,0.41677110
0.409,0.45494570,1.98927800,0.41720410
0.410,0.45027330,1.99569100,0.41764750
0.411,0.44583260,2.00211500,0.41809740
0.412,0.44139180,2.00854800,0.41854730
0.413,0.43695100,2.01499200,0.41899720
0.414,0.43251020,2.02144700,0.41944710
0.415,0.42806940,2.02791100,0.41989710
0.416,0.42362860,2.03438600,0.42034700
0.417,0.41918780,2.04087100,0.42079690
0.418,0.41474700,2.04736700,0.42124680
0.419,0.41030620,2.05387300,0.42169670
0.420,0.40586540,2.06038900,0.42214670
0.421,0.40142460,2.06691600,0.42259660
0.422,0.39698380,2.07345300,0.42304650
0.423,0.39254300,2.08000000,0.42349640
0.424,0.38810230,2.08655700,0.42394630
0.425,0.38366150,2.09312500,0.42439630
0.426,0.37922070,2.09970400,0.42484620
0.427,0.37477990,2.10629200,0.42529610
0.428,0.37033910,2.11289100,0.42574600
0.429,0.36591340,2.11950000,0.42619640
0.430,0.36206960,2.12611900,0.42666460
0.431,0.35822590,2.13274900,0.42713270
0.432,0.35438220,2.13938900,0.42760080
0.433,0.35053840,2.14604000,0.42806900
0.434,0.34669470,2.15270000,0.42853710
0.435,0.34285100,2.15937200,0.42900520
0.436,0.33900730,2.16605300,0.42947340
0.437,0.33516350,2.17274500,0.42994150
0.438,0.33131980,2.17944700,0.43040970
0.439,0.32747610,2.18615900,0.43087780
0.440,0.32363230,2.19288200,0.43134590
0.441,0.31978860,2.19961500,0.43181410
0.442,0.31594490,2.20635800,0.43228220
0.443,0.31210120,2.21311200,0.43275030
0.444,0.30825740,2.21987500,0.43321850
0.445,0.30441370,2.22665000,0.43368660
0.446,0.30057000,2.23343400,0.43415480
0.447,0.29672620,2.24022900,0.43462290
